setting	held_out_project	training_projects	training_project_count	ranked_workflows	held_out_rank_spearman	selected_config_id	training_median_rank	training_mean_rank	quant	normalization	imputation	de_method	log2fc	fdr_method	status	held_out_benchmark_rank	held_out_score_A	oracle_config_id	oracle_score_A	score_A_regret
DIA	PXD026600	PXD046444,PXD062685,PXD066672,PXD070049	4	320	-0.15826820156154836	maxlfq__deqms|bh|none|knn|fc0.5|a0.05|none|k2	34.900000000000006	34.8	maxlfq	none	knn	deqms	0.5	bh	evaluated	99.4	0.8632885622959304	directlfq__limma|bh|none|none|fc0.5|a0.05|none|k2	0.8844178421957498	0.021129279899819386
DIA	PXD046444	PXD026600,PXD062685,PXD066672,PXD070049	4	320	0.7421850037268343	maxlfq__deqms|bh|none|qrilc|fc0.5|a0.05|none|k2	40.099999999999994	89.05	maxlfq	none	qrilc	deqms	0.5	bh	evaluated	52.4	0.641175262468451	pibaq__deqms|bh|none|none|fc0.5|a0.05|none|k2	0.6589848044070649	0.017809541938613838
DIA	PXD062685	PXD026600,PXD046444,PXD066672,PXD070049	4	320	0.741717283879159	maxlfq__deqms|bh|none|knn|fc0.5|a0.05|none|k2	34.900000000000006	47.050000000000004	maxlfq	none	knn	deqms	0.5	bh	evaluated	50.4	0.5516236474224445	maxlfq__deqms|bh|none|qrilc|fc0.5|a0.05|none|k2	0.5518927211859803	0.0002690737635357987
DIA	PXD066672	PXD026600,PXD046444,PXD062685,PXD070049	4	320	0.8656466789205011	maxlfq__deqms|bh|none|knn|fc0.5|a0.05|none|k2	44.8	52.00000000000001	maxlfq	none	knn	deqms	0.5	bh	evaluated	30.6	0.5811570541860933	maxlfq__deqms|bh|none|knn|fc0.5|a0.05|none|k2	0.5811570541860933	0.0
DIA	PXD070049	PXD026600,PXD046444,PXD062685,PXD066672	4	320	0.5086496956806181	pibaq__deqms|bh|none|none|fc0.5|a0.05|none|k2	41.1	61.349999999999994	pibaq	none	none	deqms	0.5	bh	evaluated	129.2	0.5228568756210423	maxlfq__deqms|bh|median|knn|fc0.5|a0.05|none|k2	0.5471797575623741	0.02432288194133181
LFQ	PXD000279	PXD002099,PXD003881,PXD006447,PXD007683_LFQ,PXD028735	5	320	0.06371220808480246	directlfq__deqms|bh|none|mindet|fc0.5|a0.05|none|k2	34.6	39.1	directlfq	none	mindet	deqms	0.5	bh	evaluated	98.0	0.5737507160584135	sum__deqms|bh|none|none|fc0.5|a0.05|none|k2	0.6280494626032649	0.05429874654485134
LFQ	PXD002099	PXD000279,PXD003881,PXD006447,PXD007683_LFQ,PXD028735	5	320	0.30787691672727974	directlfq__deqms|bh|none|mindet|fc0.5|a0.05|none|k2	34.6	46.9	directlfq	none	mindet	deqms	0.5	bh	evaluated	59.0	0.7347565668380034	maxlfq__deqms|bh|none|none|fc0.5|a0.05|none|k2	0.8239232836078569	0.08916671676985355
LFQ	PXD003881	PXD000279,PXD002099,PXD006447,PXD007683_LFQ,PXD028735	5	320	0.5006720090471117	directlfq__deqms|bh|none|seqknn|fc0.5|a0.05|none|k2	46.4	57.019999999999996	directlfq	none	seqknn	deqms	0.5	bh	evaluated	15.6	0.5549200834914889	directlfq__limrots|bh|none|mindet|fc0.5|a0.05|none|k2	0.5578142079405402	0.0028941244490512386
LFQ	PXD006447	PXD000279,PXD002099,PXD003881,PXD007683_LFQ,PXD028735	5	320	-0.12904500181830098	directlfq__deqms|bh|none|mindet|fc0.5|a0.05|none|k2	34.6	45.2	directlfq	none	mindet	deqms	0.5	bh	evaluated	67.5	0.8803589973708537	top3__limma|bh|none|minprob|fc0.5|a0.05|none|k2	0.9260134370764768	0.04565443970562311
LFQ	PXD007683_LFQ	PXD000279,PXD002099,PXD003881,PXD006447,PXD028735	5	320	0.5605930487914211	directlfq__deqms|bh|none|impseqrob|fc0.5|a0.05|none|k2	40.3	78.78	directlfq	none	impseqrob	deqms	0.5	bh	evaluated	58.0	0.5398957579963461	directlfq__limrots|bh|none|mindet|fc0.5|a0.05|none|k2	0.544998848178355	0.005103090182008829
LFQ	PXD028735	PXD000279,PXD002099,PXD003881,PXD006447,PXD007683_LFQ	5	320	0.46577255827988995	directlfq__limrots|bh|none|minprob|fc0.5|a0.05|none|k2	38.0	74.4	directlfq	none	minprob	limrots	0.5	bh	evaluated	145.7	0.5091110793575094	directlfq__deqms|bh|none|none|fc0.5|a0.05|none|k2	0.5340821145070154	0.024971035149505938
TMT	PXD015261	PXD020815,PXD040449	2	320	-0.12651223726825223	directlfq__deqms|bh|none|impseqrob|fc0.5|a0.05|none|k2	36.7	36.7	directlfq	none	impseqrob	deqms	0.5	bh	evaluated	106.6	0.8350625289165067	sum__deqms|bh|none|seqknn|fc0.5|a0.05|none|k2	0.8517362585155623	0.016673729599055664
TMT	PXD020815	PXD015261,PXD040449	2	320	0.22595650116295365	directlfq__deqms|bh|none|knn|fc0.5|a0.05|none|k2	67.1	67.1	directlfq	none	knn	deqms	0.5	bh	evaluated	31.7	0.5906132685236057	pibaq__deqms|bh|none|none|fc0.5|a0.05|none|k2	0.5952691120203685	0.004655843496762735
TMT	PXD040449	PXD015261,PXD020815	2	320	0.08138994160325656	sum__deqms|bh|none|seqknn|fc0.5|a0.05|none|k2	59.5	59.5	sum	none	seqknn	deqms	0.5	bh	evaluated	215.7	0.5046882604846719	pibaq__limma|bh|median|seqknn|fc0.5|a0.05|none|k2	0.5389379905412012	0.034249730056529315
