project	setting	declared_candidates	contrast_count	declared_candidate_evaluations	successful_candidates	failed_candidates	eligible_candidates	grid_complete	grid_contract_id	grid_contract_fingerprint	project_input_fingerprint
PXD000279	LFQ	320	1	320	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	8533e7cb54ca90101a43677abd8469056f21464e0a1e6c0cc7631f51f55f956d
PXD002099	LFQ	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	da51f6da81be04a99dd3bc45f5d14128e901b9789a2c4863baf355675ea7f837
PXD003881	LFQ	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	013e138cc596ad16154d88eccdd278fda6a6e2c62cdcbf1ef69a80eac56ef681
PXD006447	LFQ	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	e6dcaa8dae9d40c0c461e4ad85a8ba1d3f41d1c41576a90ee5251a3942da78d5
PXD007683_LFQ	LFQ	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	5cadd8dd08603acf86fbd6768f105e882e22070870c1ab7928a32585ee3374fc
PXD015261	TMT	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	58a043dc426c0b8db0dfb1e053aaa25ed389fe6932e5551135f7b8ce1ca6289c
PXD020815	TMT	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	5428aff1f31f80bd7780d724c692750bf3cc648a20d807fd1f5c95540aa4bca9
PXD026600	DIA	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	6f154e9370bcff1db486dd71824437c54e087ba2446b4ad161f86f695da4a700
PXD028735	LFQ	320	1	320	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	cc6a3465101f71b6167fafcc14df3e4883c0b16da93b6d3829a1ff2774e7a878
PXD040449	TMT	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	430b0d475795dc20bbe7f914788fa12d2e0b11f33d0ab7ef349824db3ec4fcab
PXD046444	DIA	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	a8f7934e2ad208d2355b61e9e7b5553ad2a623999fbed29415f0394b78b9ce27
PXD062685	DIA	320	1	320	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	0716224946c80bb76135cbfadf2a4c4a0086b6245cd17dfc7261667b642cfd2f
PXD066672	DIA	320	2	640	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	582ffc216b14cdf2a94b5c251acf64d6c6d76b9d81ce9ad2dbc6da0520521f8f
PXD070049	DIA	320	1	320	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	ca55f5cb2aab73d2b8053a2f6bbc2a2474a5be280f15e4ae77568b8f83e31641
PXD070151	TMT	320	1	320	320	0	320	True	spike-in-score-a-320-v5	af63c5a56c8bdd9fbda053ad6671da5ad785cf24e32df1a20ba58372f2910ecd	47f2d3e062b829b0fdf15a0362107df66f207da8015ee2cdb0ccdff8ded075a2
