setting	step	option_a	option_b	metric	paired_comparisons	option_a_wins	ties	option_b_wins	option_a_win_rate	median_difference_a_minus_b	mean_difference_a_minus_b
DIA	quant	directlfq	maxlfq	pauc001	320	152	59	109	0.475	0.0	0.0031159757490597053
DIA	quant	directlfq	maxlfq	pauc005	320	177	9	134	0.553125	8.873290193819883e-05	0.00526977357178084
DIA	quant	directlfq	maxlfq	pauc01	320	136	0	184	0.425	-0.0009916236188424188	0.0026493953695811623
DIA	quant	directlfq	maxlfq	nmcc	320	89	147	84	0.278125	0.0	0.0038522778109151196
DIA	quant	directlfq	maxlfq	gmean	320	129	155	36	0.403125	0.0	0.006671756933533156
DIA	quant	directlfq	pibaq	pauc001	320	124	0	196	0.3875	-0.00014244805107435643	0.022027332023455786
DIA	quant	directlfq	pibaq	pauc005	320	160	0	160	0.5	-2.4594771609209864e-05	0.01146170727398931
DIA	quant	directlfq	pibaq	pauc01	320	228	0	92	0.7125	0.01329709840356147	0.014034170579675117
DIA	quant	directlfq	pibaq	nmcc	320	162	151	7	0.50625	0.001031945994029726	0.024614794869806
DIA	quant	directlfq	pibaq	gmean	320	141	157	22	0.440625	0.0	0.02243053543137569
DIA	quant	directlfq	sum	pauc001	320	124	12	184	0.3875	-0.0001547465996966091	0.01547498816899828
DIA	quant	directlfq	sum	pauc005	320	154	0	166	0.48125	-0.000386570321436408	0.008139777154714064
DIA	quant	directlfq	sum	pauc01	320	205	0	115	0.640625	0.009441654140432132	0.011423494072854727
DIA	quant	directlfq	sum	nmcc	320	160	154	6	0.5	3.108149629893475e-07	0.022970343298509915
DIA	quant	directlfq	sum	gmean	320	149	157	14	0.465625	0.0	0.027774015915613987
DIA	quant	directlfq	top3	pauc001	320	151	12	157	0.471875	0.0	0.022256493748970072
DIA	quant	directlfq	top3	pauc005	320	171	0	149	0.534375	0.001204307835029672	0.0157586632649938
DIA	quant	directlfq	top3	pauc01	320	219	0	101	0.684375	0.016935097739213756	0.019096795453751918
DIA	quant	directlfq	top3	nmcc	320	168	149	3	0.525	0.007260470955979981	0.02886602382013842
DIA	quant	directlfq	top3	gmean	320	157	156	7	0.490625	0.0	0.03908876782443185
DIA	quant	maxlfq	pibaq	pauc001	320	121	0	199	0.378125	-0.0001563324348910211	0.018911356274396083
DIA	quant	maxlfq	pibaq	pauc005	320	152	0	168	0.475	-0.0008339645638318627	0.006191933702208468
DIA	quant	maxlfq	pibaq	pauc01	320	231	0	89	0.721875	0.01178705925309026	0.011384775210093956
DIA	quant	maxlfq	pibaq	nmcc	320	164	142	14	0.5125	0.001031945994029726	0.02076251705889088
DIA	quant	maxlfq	pibaq	gmean	320	137	154	29	0.428125	0.0	0.015758778497842536
DIA	quant	maxlfq	sum	pauc001	320	124	14	182	0.3875	-0.0001044296953687518	0.012359012419938576
DIA	quant	maxlfq	sum	pauc005	320	146	0	174	0.45625	-0.00042780094749569897	0.002870003582933223
DIA	quant	maxlfq	sum	pauc01	320	228	0	92	0.7125	0.00809666761950567	0.008774098703273565
DIA	quant	maxlfq	sum	nmcc	320	162	149	9	0.50625	0.001031945994029726	0.019118065487594794
DIA	quant	maxlfq	sum	gmean	320	144	158	18	0.45	0.0	0.02110225898208083
DIA	quant	maxlfq	top3	pauc001	320	138	12	170	0.43125	-2.672696906089178e-05	0.01914051799991037
DIA	quant	maxlfq	top3	pauc005	320	159	0	161	0.496875	-0.00013477850921814194	0.01048888969321296
DIA	quant	maxlfq	top3	pauc01	320	239	0	81	0.746875	0.012563164968308338	0.016447400084170755
DIA	quant	maxlfq	top3	nmcc	320	166	143	11	0.51875	0.0030783617407951214	0.0250137460092233
DIA	quant	maxlfq	top3	gmean	320	152	155	13	0.475	0.0	0.0324170108908987
DIA	quant	pibaq	sum	pauc001	320	181	2	137	0.565625	4.760963388986128e-05	-0.006552343854457507
DIA	quant	pibaq	sum	pauc005	320	132	0	188	0.4125	-0.0009181434072289829	-0.0033219301192752458
DIA	quant	pibaq	sum	pauc01	320	115	0	205	0.359375	-0.002500415729703054	-0.0026106765068203905
DIA	quant	pibaq	sum	nmcc	320	88	152	80	0.275	0.0	-0.001644451571296085
DIA	quant	pibaq	sum	gmean	320	116	156	48	0.3625	0.0	0.005343480484238293
DIA	quant	pibaq	top3	pauc001	320	206	1	113	0.64375	0.0001066913195518493	0.00022916172551428696
DIA	quant	pibaq	top3	pauc005	320	240	0	80	0.75	0.0024104143083683027	0.004296955991004493
DIA	quant	pibaq	top3	pauc01	320	201	0	119	0.628125	0.003092264495552055	0.005062624874076797
DIA	quant	pibaq	top3	nmcc	320	130	147	43	0.40625	0.0	0.004251228950332422
DIA	quant	pibaq	top3	gmean	320	153	157	10	0.478125	0.0	0.01665823239305616
DIA	quant	sum	top3	pauc001	320	233	15	72	0.728125	0.0004126994032499498	0.006781505579971795
DIA	quant	sum	top3	pauc005	320	266	0	54	0.83125	0.00270492511664272	0.007618886110279739
DIA	quant	sum	top3	pauc01	320	262	0	58	0.81875	0.004880920560727753	0.0076733013808971875
DIA	quant	sum	top3	nmcc	320	161	149	10	0.503125	0.0007600124620220916	0.005895680521628507
DIA	quant	sum	top3	gmean	320	159	157	4	0.496875	0.0	0.011314751908817866
DIA	normalization	median	none	pauc001	800	128	85	587	0.16	-0.0023124634173553316	-0.007334812187063979
DIA	normalization	median	none	pauc005	800	168	13	619	0.21	-0.009709488556391033	-0.023676742056062926
DIA	normalization	median	none	pauc01	800	178	0	622	0.2225	-0.012657150547849827	-0.028962966756683736
DIA	normalization	median	none	nmcc	800	99	368	333	0.12375	0.0	-0.022441210035298167
DIA	normalization	median	none	gmean	800	116	388	296	0.145	0.0	-0.019067722071563008
DIA	imputation	impseq	impseqrob	pauc001	200	87	26	87	0.435	0.0	-0.002479345678954845
DIA	imputation	impseq	impseqrob	pauc005	200	110	0	90	0.55	2.06805587043557e-05	0.00043417332536046545
DIA	imputation	impseq	impseqrob	pauc01	200	108	0	92	0.54	0.00031625691514478027	0.0015074317343093243
DIA	imputation	impseq	impseqrob	nmcc	200	25	97	78	0.125	0.0	-0.00224861867934742
DIA	imputation	impseq	impseqrob	gmean	200	50	100	50	0.25	0.0	0.0022906036886384076
DIA	imputation	impseq	knn	pauc001	200	80	19	101	0.4	-1.8235936914134943e-06	-0.0037571873388227484
DIA	imputation	impseq	knn	pauc005	200	79	0	121	0.395	-0.000877701953476473	-0.0059644869522751795
DIA	imputation	impseq	knn	pauc01	200	27	0	173	0.135	-0.00555775084989138	-0.010649722855943431
DIA	imputation	impseq	knn	nmcc	200	27	93	80	0.135	0.0	-0.0057167557750603115
DIA	imputation	impseq	knn	gmean	200	74	96	30	0.37	0.0	0.001441615575606981
DIA	imputation	impseq	mindet	pauc001	200	73	3	124	0.365	-0.00016416723117329557	0.011360692601041111
DIA	imputation	impseq	mindet	pauc005	200	77	0	123	0.385	-0.0008287870595900804	-0.0006903951111894074
DIA	imputation	impseq	mindet	pauc01	200	53	0	147	0.265	-0.0029868684901631637	-0.008360618309275602
DIA	imputation	impseq	mindet	nmcc	200	42	92	66	0.21	0.0	-0.003532501436966309
DIA	imputation	impseq	mindet	gmean	200	72	98	30	0.36	0.0	0.00476148468397187
DIA	imputation	impseq	minprob	pauc001	200	72	6	122	0.36	-6.98808554173147e-05	0.017173768322911988
DIA	imputation	impseq	minprob	pauc005	200	66	0	134	0.33	-0.0019741218266277616	0.003151103202989587
DIA	imputation	impseq	minprob	pauc01	200	50	0	150	0.25	-0.0052341118268416365	-0.006319612571366778
DIA	imputation	impseq	minprob	nmcc	200	44	93	63	0.22	0.0	-0.0009686818082835214
DIA	imputation	impseq	minprob	gmean	200	76	99	25	0.38	0.0	0.012783142439133121
DIA	imputation	impseq	none	pauc001	200	92	19	89	0.46	0.0	-0.003749419131135101
DIA	imputation	impseq	none	pauc005	200	93	0	107	0.465	-0.00013658806045582783	-0.0037707917235214957
DIA	imputation	impseq	none	pauc01	200	32	0	168	0.16	-0.0058159765453285606	-0.009490578460108028
DIA	imputation	impseq	none	nmcc	200	6	94	100	0.03	-2.5599080770211113e-05	-0.007172089771165941
DIA	imputation	impseq	none	gmean	200	54	98	48	0.27	0.0	5.881028628412562e-05
DIA	imputation	impseq	qrilc	pauc001	200	79	12	109	0.395	-2.8905050136224242e-05	0.01903438190066417
DIA	imputation	impseq	qrilc	pauc005	200	56	0	144	0.28	-0.0033984560039447276	0.008867259693135504
DIA	imputation	impseq	qrilc	pauc01	200	49	0	151	0.245	-0.007015222805852206	-0.00012558071029266537
DIA	imputation	impseq	qrilc	nmcc	200	50	94	56	0.25	0.0	0.0037308754582107808
DIA	imputation	impseq	qrilc	gmean	200	83	99	18	0.415	0.0	0.028074049051753952
DIA	imputation	impseq	seqknn	pauc001	200	79	16	105	0.395	-8.729316276295807e-06	-0.005149638345586706
