setting	config_id	quant	normalization	imputation	de_method	log2fc	fdr_method	project_count	eligible_projects	eligible_project_rate	failed_projects	failure_rate	median_benchmark_rank	mean_benchmark_rank	rank_iqr	win_frequency
DIA	maxlfq__deqms|bh|none|knn|fc0.5|a0.05|none|k2	maxlfq	none	knn	deqms	0.5	bh	5	5	1.0	0	0.0	39.2	47.720000000000006	19.799999999999997	0.0
DIA	maxlfq__deqms|bh|none|none|fc0.5|a0.05|none|k2	maxlfq	none	none	deqms	0.5	bh	5	5	1.0	0	0.0	39.6	52.379999999999995	18.299999999999997	0.0
DIA	directlfq__deqms|bh|none|none|fc0.5|a0.05|none|k2	directlfq	none	none	deqms	0.5	bh	5	5	1.0	0	0.0	40.8	51.779999999999994	15.900000000000006	0.0
DIA	maxlfq__deqms|bh|none|qrilc|fc0.5|a0.05|none|k2	maxlfq	none	qrilc	deqms	0.5	bh	5	5	1.0	0	0.0	41.4	81.72	13.600000000000001	0.0
DIA	directlfq__deqms|bh|none|qrilc|fc0.5|a0.05|none|k2	directlfq	none	qrilc	deqms	0.5	bh	5	5	1.0	0	0.0	43.0	60.56	7.600000000000001	0.0
DIA	pibaq__deqms|bh|none|none|fc0.5|a0.05|none|k2	pibaq	none	none	deqms	0.5	bh	5	5	1.0	0	0.0	44.0	74.91999999999999	90.99999999999999	0.0
DIA	directlfq__deqms|bh|none|knn|fc0.5|a0.05|none|k2	directlfq	none	knn	deqms	0.5	bh	5	5	1.0	0	0.0	46.0	58.760000000000005	18.6	0.0
DIA	maxlfq__deqms|bh|none|minprob|fc0.5|a0.05|none|k2	maxlfq	none	minprob	deqms	0.5	bh	5	5	1.0	0	0.0	46.4	79.6	13.0	0.0
DIA	maxlfq__deqms|bh|none|seqknn|fc0.5|a0.05|none|k2	maxlfq	none	seqknn	deqms	0.5	bh	5	5	1.0	0	0.0	48.0	53.18000000000001	29.0	0.0
DIA	sum__deqms|bh|none|knn|fc0.5|a0.05|none|k2	sum	none	knn	deqms	0.5	bh	5	5	1.0	0	0.0	48.2	81.47999999999999	95.19999999999999	0.0
DIA	directlfq__deqms|bh|none|minprob|fc0.5|a0.05|none|k2	directlfq	none	minprob	deqms	0.5	bh	5	5	1.0	0	0.0	48.4	65.16	11.200000000000003	0.0
